12	34	60	51	75	38	17	55	70	99	61	50	73	4	24	97	55	13
46	4	8	43	28	7	65	91	94	17	22	8	33	15	38	9	8	18
89	38	87	79	90	90	86	1	62	88	78	86	87	90	61	6	65	73
64	41	94	81	73	2	85	5	39	32	83	41	93	5	46	65	97	73
16	24	76	65	84	11	48	40	80	23	37	71	22	8	65	98	95	51
39	23	20	68	73	13	61	69	17	45	8	46	2	9	71	52	68	16
46	83	19	19	45	79	66	69	64	0	36	63	33	90	66	4	24	57
12	27	64	28	76	15	75	43	56	22	11	73	81	69	26	3	7	36
26	45	44	82	97	12	71	8	5	88	87	58	81	63	7	60	65	0
59	2	93	49	0	49	68	70	33	43	2	94	24	59	22	68	23	51
35	72	26	89	11	63	55	40	67	89	96	43	44	99	50	21	64	40
97	71	3	13	80	20	33	98	0	47	3	12	40	79	84	13	70	34
99	80	16	72	20	0	46	83	78	93	47	86	48	52	9	79	73	51
95	65	79	94	80	44	75	92	76	16	19	2	60	54	34	22	25	36
44	46	79	19	8	25	58	35	10	57	43	54	82	42	51	62	79	35
26	11	51	8	65	16	10	12	82	95	40	63	89	38	57	8	69	29
33	39	96	68	9	46	51	1	26	65	47	64	53	13	11	42	35	43
77	90	10	15	54	28	93	9	48	37	71	49	20	20	54	7	7	55
55	32	10	2	61	97	58	64	3	0	88	19	87	48	64	3	1	37
14	33	86	12	76	19	61	57	73	15	58	20	1	70	99	51	27	60
19	81	55	89	13	73	51	4	8	51	36	55	86	12	88	44	0	90
64	74	84	47	42	20	59	38	43	29	26	29	82	56	95	2	51	33
18	57	77	5	49	83	90	5	12	24	81	19	77	82	96	63	58	10
70	64	93	99	82	54	67	69	29	5	51	58	51	61	41	89	76	23
46	16	97	98	15	25	53	86	3	34	80	6	66	98	17	69	21	59
14	28	75	79	60	46	74	18	14	8	16	74	80	75	41	76	86	87
59	74	84	27	34	40	63	42	92	61	13	88	82	25	34	43	54	77
47	29	99	41	84	97	32	17	81	80	42	19	25	41	66	86	53	53
39	58	79	87	3	91	61	59	75	38	13	68	15	36	88	96	14	63
14	89	2	81	22	15	48	26	16	95	11	1	37	86	38	19	72	48
23	23	43	90	61	51	26	83	25	77	99	23	4	87	17	67	95	37
53	5	21	26	32	71	1	58	53	72	4	50	50	95	38	41	28	49
52	13	88	72	60	4	19	94	48	13	39	23	89	63	16	24	60	77
6	10	4	59	17	7	72	80	39	22	30	74	86	23	64	57	42	69
80	86	98	14	52	36	10	71	3	41	17	50	16	98	77	84	76	26
26	65	40	13	82	45	68	21	74	59	87	94	3	4	55	72	8	1
46	7	66	12	27	56	71	32	31	94	84	17	79	63	14	43	76	14
40	80	58	75	67	24	90	68	74	27	60	10	62	31	9	25	57	19
91	91	38	94	37	25	65	98	59	90	18	35	15	64	68	15	69	77
53	55	73	83	15	57	8	18	96	27	11	1	93	31	79	90	24	37
69	64	11	4	96	96	68	72	57	87	45	94	97	32	72	90	40	18
82	44	89	88	88	93	23	43	77	27	59	46	30	59	24	56	62	76
99	12	6	77	19	39	88	29	31	69	37	66	74	48	13	80	46	48
55	0	65	58	82	59	46	31	54	14	84	26	1	25	60	82	0	91
87	94	32	97	93	53	94	52	14	35	1	92	1	61	86	46	93	30
36	32	25	4	82	20	53	35	87	72	5	56	55	68	16	55	92	81
56	73	59	48	71	11	60	41	93	36	6	76	48	96	6	5	88	71
62	52	39	30	94	4	76	55	29	21	91	13	91	88	65	96	23	83
74	52	16	45	39	46	5	92	48	48	21	52	11	53	95	30	39	15
60	66	68	86	63	31	39	34	67	69	58	11	57	93	14	63	39	68
